fired,0,1,2,2 
fires,6,0,0,1 
first,2,41,0,162 
fists,0,1,0,0 
fixed,2,0,0,4 
flame,1,0,2,1 
flash,0,3,0,3 
fleet,1,0,0,0 
flesh,1,0,0,1 
flies,1,0,0,0 
float,3,0,0,0 
flock,1,0,0,1 
flood,1,0,0,1 
floor,1,4,3,0 
flour,0,5,0,0 
flown,1,0,0,0 
flows,2,0,0,0 
fluid,1,0,0,0 
flung,0,6,0,2 
flute,0,0,0,1 
folds,3,0,0,0 
folks,0,10,0,0 
folly,0,0,0,1 
fools,0,1,0,0 
force,0,7,1,12 
forge,0,0,0,2 
forms,2,1,0,7 
forth,9,9,8,19 
forty,1,2,1,2 
found,5,46,4,72 
fount,3,0,0,0 
frail,0,1,0,0 
frame,5,2,0,0 
frank,0,7,0,7 
freer,0,1,0,0 
fresh,2,4,0,5 
front,1,16,0,9 
frown,1,0,0,0 
froze,0,1,0,0 
fruit,0,0,0,2 
fully,0,10,0,7 
funds,0,0,0,1 
funny,0,1,0,0 
fused,1,0,0,1 
gains,0,1,0,0 
games,0,0,0,1 
gates,4,0,0,0 
gauds,1,0,0,0 
gaudy,1,0,0,0 
gauze,1,0,0,0 
gauzy,1,0,0,0 
gazed,0,1,0,2 
genii,1,0,0,0 
ghost,0,2,0,0 
ghyll,0,0,0,3 
giant,6,1,0,3 
gibes,0,1,0,0 
gifts,0,0,0,18 
girls,1,5,0,0 
girth,1,2,0,0 
given,1,16,1,20 
gives,1,0,0,0 
glare,1,1,0,0 
glass,1,1,0,8 
gleam,1,0,0,0 
glebe,0,0,0,2 
glide,1,0,0,0 
globe,0,0,0,7 
gloom,2,2,0,0 
glory,7,0,0,2 
glows,1,0,0,0 
goals,1,1,1,1 
going,0,44,2,4 
goods,0,1,0,0 
goose,0,1,0,0 
gored,0,1,0,0 
gorge,0,1,0,0 
gorse,0,0,0,3 
grace,4,0,0,16 
grade,0,3,0,0 
grain,1,0,0,0 
grand,1,1,0,2 
grant,0,0,0,4 
grasp,0,4,0,3 
grass,2,5,0,0 
grave,0,2,0,9 
graze,2,0,0,0 
great,4,18,3,121 
greek,0,0,0,1 
green,12,2,0,0 
greet,2,0,0,0 
greif,0,0,0,1 
grief,1,2,0,0 
grimy,0,1,0,0 
groan,0,1,0,0 
gross,1,1,1,1 
group,2,9,1,5 
grove,2,0,0,3 
growl,0,2,1,0 
grown,1,3,0,3 
grows,1,0,0,1 
guard,0,2,0,4 
guess,0,5,0,1 
guest,0,0,0,7 
guilt,0,0,0,2 
gulfs,2,0,0,0 
gusto,0,1,0,0 
gusts,0,0,0,1 
gusty,1,0,0,0 
gyres,1,0,0,0 
habit,0,1,0,10 
hafiz,1,0,0,0 
hairs,0,1,0,0 
halle,0,0,0,3 
halls,5,0,0,0 
halos,1,0,0,0 
hands,3,16,2,8 
handy,0,1,0,0 
hangs,0,1,0,0 
happy,8,11,0,11 
hardy,0,28,0,0 
harry,0,3,0,1 
harte,0,0,0,2 
haste,1,0,0,0 
hasty,0,6,0,1 
hated,0,0,0,1 
haunt,2,0,0,2 
haven,1,0,0,0 
havoc,0,0,0,1 
hawes,0,0,0,2 
heads,0,3,0,1 
heard,9,31,0,13 
hears,2,1,0,0 
heart,17,12,2,5 
heave,0,0,0,1 
heavy,0,5,0,4 
heeds,0,1,0,0 
heels,0,2,0,1 
heerd,0,1,0,0 
henry,0,0,0,12 
henty,0,1,0,0 
hills,1,0,0,6 
hilly,1,0,0,0 
hired,0,2,0,1 
hitch,0,1,0,0 
hoard,0,0,0,1 
hoary,1,0,0,0 
holds,0,1,1,3 
homes,0,1,0,7 
honey,1,0,0,0 
honor,0,1,0,0 
hoped,0,4,0,0 
hopes,0,1,0,1 
horny,0,1,0,0 
horse,0,15,0,0 
hosts,0,0,0,3 
hotel,0,0,0,2 
hotly,0,0,0,1 
hound,0,1,0,0 
hours,3,1,0,22 
house,2,41,0,47 
human,1,2,1,14 
humor,0,1,0,0 
hurry,0,1,0,1 
husky,0,3,0,0 
hussy,0,2,0,0 
hyads,1,0,0,0 
ibsen,0,0,0,1 
ideal,1,0,0,10 
ideas,0,0,0,6 
image,1,0,0,9 
imply,0,0,0,2 
incur,0,1,0,0 
index,0,0,0,3 
indus,1,0,0,0 
inner,0,0,0,3 
ionic,1,0,0,0 
irate,0,3,0,0 
irish,0,0,0,5 
islam,1,0,0,0 
isles,3,0,0,0 
issue,1,0,0,11 
ivied,1,0,0,0 
ivory,5,0,0,0 
jaded,1,0,0,0 
james,2,2,0,7 
jeers,0,1,0,0 
jerry,0,24,0,0 
jetty,1,0,0,0 
jeune,0,0,0,2 
jimmy,0,0,0,2 
joint,0,0,0,3 
jonas,0,1,0,0 
judge,0,3,0,5 
keeps,0,1,0,0 
kelly,0,0,0,1 
kinds,0,0,0,1 
kings,2,0,0,0 
knees,2,0,0,1 
knelt,0,1,0,0 
knife,0,0,0,1 
knock,0,1,0,0 
knots,0,1,0,0 
known,1,7,0,42 
knows,0,6,0,2 
koran,1,0,0,0 
kubla,1,0,0,0 
labor,3,0,0,0 
lakes,0,0,0,1 
lambs,0,0,0,2 
lands,4,0,0,1 
lanes,0,0,0,1 
lapel,0,0,0,1 
lapse,0,0,0,2 
larch,1,0,0,0 
lares,1,0,0,0 
large,1,6,0,9 
larry,0,79,0,0 
later,1,11,1,81 
latin,0,0,0,1 
laugh,1,1,0,0 
laved,1,0,0,0 
laves,1,0,0,0 
lawns,1,0,0,0 
leads,1,0,0,1 
leafy,1,0,0,0 
leans,0,0,0,1 
leant,0,0,0,3 
leaps,0,0,0,1 
leapt,0,0,0,1 
learn,1,6,1,5 
least,0,9,1,11 
leave,3,17,0,17 
leech,0,0,0,1 
legal,2,2,2,5 
level,2,1,0,0 
lewis,0,0,0,4 
libel,0,0,0,1 
lifts,1,1,0,0 
light,8,13,0,17 
liked,0,1,0,0 
limbs,4,0,0,0 
limit,0,2,1,2 
lined,2,0,0,0 
lines,1,1,1,4 
links,5,3,3,5 
lithe,1,0,0,0 
lived,0,11,0,6 
lives,0,5,0,2 
livid,2,2,0,0 
lloyd,0,0,0,1 
local,0,0,0,1 
locks,2,1,0,0 
lofty,4,0,0,0 
looks,1,15,0,2 
looms,2,0,0,0 
loose,1,3,1,1 
lords,2,0,0,0 
lordy,0,1,0,0 
losel,1,0,0,0 
lotos,2,0,0,0 
louis,0,0,0,3 
loved,9,0,0,21 
lover,1,0,0,2 
loves,0,0,0,1 
lowed,1,0,0,0 
lower,0,2,0,3 
lowly,1,2,0,0 
loyal,1,1,0,4 
lucid,1,0,0,0 
lucky,0,3,0,0 
lunar,2,0,0,0 
lunch,0,0,0,6 
lunge,0,0,0,1 
lured,1,0,0,1 
lures,1,0,0,0 
lurid,3,0,0,2 
lurks,0,0,0,1 
lusty,0,1,0,0 
lutes,1,0,0,0 
lydia,0,1,0,0 
lying,0,1,0,2 
lymph,2,0,0,0 
lyres,1,0,0,0 
lyric,0,0,0,1 
madam,0,0,0,2 
madox,0,0,0,2 
magic,4,0,0,2 
maida,0,0,0,1 
maids,2,0,0,1 
maine,0,1,0,0 
makes,2,4,1,7 
malay,0,1,0,0 
mandy,0,3,0,0 
manor,0,0,0,2 
maori,0,1,0,0 
maple,1,0,0,0 
march,2,0,0,1 
marge,1,0,0,0 
marie,0,0,0,2 
marks,0,0,0,5 
marry,0,1,0,0 
match,0,1,0,1 
maybe,0,0,0,1 
mayor,0,0,0,1 
mayst,2,0,0,0 
mazes,1,0,0,0 
meads,1,0,0,0 
means,3,9,4,29 
meant,0,4,0,3 
mebbe,0,1,0,0 
medal,0,5,0,0 
medea,1,0,0,0 
melon,1,0,0,0 
menny,0,1,0,0 
mercy,0,1,0,1 
merge,0,0,0,1 
merit,0,1,0,1 
merry,4,1,0,0 
metre,0,0,0,2 
midst,0,21,0,2 
might,13,24,0,66 
miles,0,2,0,4 
minds,1,2,0,5 
minto,0,0,0,1 
mirth,2,0,0,0 
misty,2,0,0,0 
mitre,0,0,0,2 
mixed,1,3,0,0 
moans,1,0,0,0 
model,0,0,0,5 
moist,2,1,0,0 
monad,2,0,0,0 
money,3,25,3,9 
monna,0,0,0,1 
monte,0,0,0,3 
month,0,1,0,3 
moods,0,0,0,6 
moons,1,0,0,0 
moore,0,0,0,1 
moral,0,0,0,3 
moses,0,0,0,1 
mossy,2,0,0,0 
motto,0,0,0,2 
mould,3,0,0,0 
mount,2,2,0,0 
mourn,1,0,0,0 
mouth,1,0,1,3 
moved,0,8,0,14 
munro,0,1,0,0 
mural,0,0,0,1 
music,3,0,0,19 
musky,1,0,0,0 
musty,0,2,0,0 
naked,0,0,0,1 
named,2,0,0,2 
names,1,1,0,7 
natal,1,0,0,0 
needs,0,2,0,2 
nerve,0,2,0,0 
never,12,45,1,113 
newer,0,0,0,3 
